#options: 1280x720 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=22.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.03 aq:23.83 tex:578696 mv:149185 misc:191 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:28.03 aq:23.77 tex:251925 mv:24321 misc:1202 imb:368 pmb:3020 smb:212 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:28.03 aq:27.45 tex:34281 mv:30105 misc:1782 imb:48 pmb:2939 smb:613 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:28.03 aq:28.82 tex:10126 mv:23080 misc:2114 imb:26 pmb:2828 smb:746 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:28.03 aq:29.72 tex:13068 mv:9082 misc:3018 imb:9 pmb:1090 smb:2501 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:28.03 aq:23.71 tex:232162 mv:22639 misc:1239 imb:279 pmb:3056 smb:265 d:- ref:0 ;
in:5 out:6 type:B dur:2 cpbdur:2 q:28.03 aq:28.83 tex:26547 mv:22709 misc:3064 imb:28 pmb:2323 smb:1249 d:s ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:28.03 aq:29.66 tex:12367 mv:8871 misc:2834 imb:15 pmb:973 smb:2612 d:- ref:0 ;
in:10 out:8 type:P dur:2 cpbdur:2 q:28.03 aq:23.71 tex:314957 mv:24348 misc:807 imb:269 pmb:3145 smb:186 d:- ref:0 ;
in:8 out:9 type:B dur:2 cpbdur:2 q:28.03 aq:28.57 tex:21149 mv:27539 misc:1600 imb:27 pmb:2987 smb:586 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:28.03 aq:29.70 tex:14022 mv:9533 misc:2597 imb:16 pmb:872 smb:2712 d:- ref:0 ;
